CPRO;CISLA;ISLA;CMUN;DC;NOMBRE
35;351;Fuerteventura;003;8;Antigua
35;351;Fuerteventura;007;5;Betancuria
35;351;Fuerteventura;014;1;La Oliva
35;351;Fuerteventura;015;4;Pájara
35;351;Fuerteventura;017;3;Puerto del Rosario
35;351;Fuerteventura;030;4;Tuineje
35;352;Gran Canaria;001;7;Agaete
35;352;Gran Canaria;002;2;Agüimes
35;352;Gran Canaria;020;6;La Aldea de San Nicolás
35;352;Gran Canaria;005;6;Artenara
35;352;Gran Canaria;006;9;Arucas
35;352;Gran Canaria;008;1;Firgas
35;352;Gran Canaria;009;4;Gáldar
35;352;Gran Canaria;011;5;Ingenio
35;352;Gran Canaria;012;0;Mogán
35;352;Gran Canaria;013;6;Moya
35;352;Gran Canaria;016;7;Las Palmas de Gran Canaria
35;352;Gran Canaria;019;2;San Bartolomé de Tirajana
35;352;Gran Canaria;021;3;Santa Brígida
35;352;Gran Canaria;022;8;Santa Lucía de Tirajana
35;352;Gran Canaria;023;4;Santa María de Guía de Gran Canaria
35;352;Gran Canaria;025;2;Tejeda
35;352;Gran Canaria;026;5;Telde
35;352;Gran Canaria;027;1;Teror
35;352;Gran Canaria;032;6;Valleseco
35;352;Gran Canaria;031;1;Valsequillo de Gran Canaria
35;352;Gran Canaria;033;2;Vega de San Mateo
35;353;Lanzarote;004;3;Arrecife
35;353;Lanzarote;010;8;Haría
35;353;Lanzarote;018;9;San Bartolomé
35;353;Lanzarote;024;9;Teguise
35;353;Lanzarote;028;7;Tías
35;353;Lanzarote;029;0;Tinajo
35;353;Lanzarote;034;7;Yaiza
38;381;La Gomera;002;7;Agulo
38;381;La Gomera;003;3;Alajeró
38;381;La Gomera;021;8;Hermigua
38;381;La Gomera;036;8;San Sebastián de la Gomera
38;381;La Gomera;049;1;Valle Gran Rey
38;381;La Gomera;050;4;Vallehermoso
38;382;El Hierro;013;1;Frontera
38;382;El Hierro;901;3;El Pinar de El Hierro
38;382;El Hierro;048;8;Valverde
38;383;La Palma;007;0;Barlovento
38;383;La Palma;008;6;Breña Alta
38;383;La Palma;009;9;Breña Baja
38;383;La Palma;014;6;Fuencaliente de la Palma
38;383;La Palma;016;2;Garafía
38;383;La Palma;024;4;Los Llanos de Aridane
38;383;La Palma;027;6;El Paso
38;383;La Palma;029;5;Puntagorda
38;383;La Palma;030;9;Puntallana
38;383;La Palma;033;7;San Andrés y Sauces
38;383;La Palma;037;4;Santa Cruz de la Palma
38;383;La Palma;045;3;Tazacorte
38;383;La Palma;047;2;Tijarafe
38;383;La Palma;053;2;Villa de Mazo
38;384;Tenerife;001;2;Adeje
38;384;Tenerife;004;8;Arafo
38;384;Tenerife;005;1;Arico
38;384;Tenerife;006;4;Arona
38;384;Tenerife;010;3;Buenavista del Norte
38;384;Tenerife;011;0;Candelaria
38;384;Tenerife;012;5;Fasnia
38;384;Tenerife;015;9;Garachico
38;384;Tenerife;017;8;Granadilla de Abona
38;384;Tenerife;018;4;La Guancha
38;384;Tenerife;019;7;Guía de Isora
38;384;Tenerife;020;1;Güímar
38;384;Tenerife;022;3;Icod de los Vinos
38;384;Tenerife;025;7;La Matanza de Acentejo
38;384;Tenerife;026;0;La Orotava
38;384;Tenerife;028;2;Puerto de la Cruz
38;384;Tenerife;031;6;Los Realejos
38;384;Tenerife;032;1;El Rosario
38;384;Tenerife;023;9;San Cristóbal de La Laguna
38;384;Tenerife;034;2;San Juan de la Rambla
38;384;Tenerife;035;5;San Miguel de Abona
38;384;Tenerife;038;0;Santa Cruz de Tenerife
38;384;Tenerife;039;3;Santa Úrsula
38;384;Tenerife;040;7;Santiago del Teide
38;384;Tenerife;041;4;El Sauzal
38;384;Tenerife;042;9;Los Silos
38;384;Tenerife;043;5;Tacoronte
38;384;Tenerife;044;0;El Tanque
38;384;Tenerife;046;6;Tegueste
38;384;Tenerife;051;1;La Victoria de Acentejo
38;384;Tenerife;052;6;Vilaflor de Chasna
